캠퍼스,Avg_Score,Student_Count,MAG2_Count,MAG2_Ratio
목동매그넷,55.16346153846154,104,104.0,100.0
폴리어학원(일산),50.208333333333336,48,31.0,64.58333333333334
폴리어학원(청주),49.84158415841584,101,35.0,34.65346534653465
폴리어학원(청라),49.65384615384615,26,13.0,50.0
폴리어학원(수지본관),49.56470588235294,85,26.0,30.58823529411765
폴리어학원(구리/남양주),49.0,46,24.0,52.17391304347826
폴리어학원(세종),48.38805970149254,67,23.0,34.32835820895522
폴리어학원(천안),48.208333333333336,96,36.0,37.5
폴리어학원(마산),48.18181818181818,33,9.0,27.27272727272727
폴리어학원(동탄),48.07079646017699,113,24.0,21.238938053097346
폴리어학원(달서),48.06976744186046,43,10.0,23.25581395348837
폴리어학원(김해),48.0,23,4.0,17.391304347826086
폴리어학원(강동),47.986666666666665,75,20.0,26.666666666666668
폴리어학원(성북),47.43589743589744,78,22.0,28.205128205128204
폴리어학원(하남미사),47.339622641509436,53,15.0,28.30188679245283
폴리어학원(전주),47.32692307692308,52,0.0,0.0
폴리어학원(광산),47.31578947368421,19,10.0,52.63157894736842
폴리어학원(부천),47.11363636363637,44,8.0,18.181818181818183
폴리어학원(수성),47.095238095238095,84,33.0,39.285714285714285
폴리어학원(평촌),47.02,100,20.0,20.0
폴리어학원(송도),46.94805194805195,77,20.0,25.97402597402597
폴리어학원(김포),46.59090909090909,66,23.0,34.84848484848485
폴리어학원(동대문),46.5,48,12.0,25.0
폴리어학원(관악),46.08064516129032,62,9.0,14.516129032258066
폴리어학원(포항),45.983333333333334,60,18.0,30.0
폴리어학원(광진),45.97560975609756,41,10.0,24.390243902439025
폴리어학원(부산화명),45.95238095238095,21,3.0,14.285714285714285
폴리어학원(창원),45.375,48,20.0,41.66666666666667
폴리어학원(원주),45.3,10,2.0,20.0
폴리어학원(대전),45.23021582733813,139,39.0,28.05755395683453
폴리어학원(영통),45.212765957446805,94,17.0,18.085106382978726
폴리어학원(동래),45.114285714285714,35,10.0,28.57142857142857
폴리어학원(은평),45.09615384615385,52,17.0,32.69230769230769
폴리어학원(덕양),44.94736842105263,57,11.0,19.298245614035086
폴리어학원(광교),44.9264705882353,68,20.0,29.411764705882355
폴리어학원(부산명지),44.875,24,0.0,0.0
대치폴리매그넷,44.774193548387096,31,6.0,19.35483870967742
폴리어학원(광주봉선),44.714285714285715,14,2.0,14.285714285714285
폴리어학원(위례),44.64912280701754,57,11.0,19.298245614035086
폴리어학원(중계),44.572916666666664,96,32.0,33.33333333333333
폴리어학원(서대문),44.44444444444444,45,14.0,31.11111111111111
폴리어학원(분당),44.28378378378378,74,14.0,18.91891891891892
폴리어학원(광안),43.793103448275865,29,6.0,20.689655172413794
폴리어학원(강서),43.78048780487805,41,9.0,21.951219512195124
폴리어학원(마포),43.766666666666666,120,24.0,20.0
폴리어학원(광명),43.38095238095238,63,10.0,15.873015873015872
폴리어학원(울산남구),43.125,24,7.0,29.166666666666668
폴리어학원(대구북구),43.10526315789474,19,4.0,21.052631578947366
폴리어학원(목동),42.952095808383234,167,0.0,0.0
폴리어학원(성동),42.85507246376812,69,10.0,14.492753623188406
폴리어학원(유성),42.79338842975206,121,20.0,16.528925619834713
폴리어학원(정발),42.47826086956522,92,9.0,9.782608695652174
폴리어학원(운정),42.0,32,5.0,15.625
폴리어학원(송파),41.864583333333336,96,19.0,19.791666666666664
폴리어학원(시흥장현),41.333333333333336,12,0.0,0.0
폴리어학원(진주),40.65384615384615,26,4.0,15.384615384615385
폴리어학원(구미),39.81395348837209,43,4.0,9.30232558139535
폴리어학원(해운대),39.36363636363637,44,11.0,25.0
폴리어학원(수지별관),38.575,40,0.0,0.0
폴리어학원(남동),37.15384615384615,13,0.0,0.0
폴리어학원(평택지제),35.666666666666664,18,0.0,0.0
시범캠퍼스,17.0,1,1.0,100.0
