Skill,Skill_Name,난이도,시도_수,정답_수,오답_수,정답률,오답률
1,Skill 01,★,1796,1735,61,96.60356347438753,3.3964365256124722
2,Skill 02,★,1796,1395,401,77.67260579064587,22.32739420935412
3,Skill 03,★,1796,1528,268,85.07795100222717,14.92204899777283
4,Skill 04,★,1796,1576,220,87.75055679287304,12.24944320712695
5,Skill 05,★★,1796,1601,195,89.14253897550111,10.857461024498887
6,Skill 06,★★,1796,967,829,53.84187082405345,46.15812917594655
7,Skill 07,★★,1796,493,1303,27.44988864142539,72.55011135857461
8,Skill 08,★★,1796,1048,748,58.35189309576837,41.648106904231625
9,Skill 09,★★,1796,1294,502,72.0489977728285,27.95100222717149
10,Skill 10,★★,1796,980,816,54.56570155902004,45.43429844097995
11,Skill 11,★★★,1796,503,1293,28.006681514476618,71.99331848552339
12,Skill 12,★★★,1796,681,1115,37.91759465478842,62.082405345211576
13,Skill 13,★★★,1796,714,1082,39.75501113585746,60.244988864142535
14,Skill 14,★★★,1796,536,1260,29.84409799554566,70.15590200445433
15,Skill 15,★★★,1796,652,1144,36.30289532293987,63.69710467706013
16,Skill 16,★★★,1796,676,1120,37.639198218262806,62.360801781737194
17,Skill 17,★★★★,1796,539,1257,30.011135857461024,69.98886414253897
18,Skill 18,★★★★,1796,466,1330,25.946547884187083,74.05345211581292
19,Skill 19,★★★★,1796,541,1255,30.122494432071267,69.87750556792874
20,Skill 20,★★★★,1796,455,1341,25.334075723830736,74.66592427616926
